point_id,polygon_id,class,di_t+0,di_t+1,di_t+10,di_t+11,di_t+12,di_t+14,di_t+15,di_t+16,di_t+17,di_t+18,di_t+19,di_t+2,di_t+20,di_t+21,di_t+22,di_t+23,di_t+24,di_t+25,di_t+26,di_t+3,di_t+4,di_t+5,di_t+6,di_t+7,di_t+8,di_t+9,di_t-1,di_t-10,di_t-11,di_t-12,di_t-13,di_t-14,di_t-15,di_t-16,di_t-17,di_t-18,di_t-19,di_t-2,di_t-20,di_t-21,di_t-22,di_t-23,di_t-24,di_t-25,di_t-27,di_t-28,di_t-29,di_t-3,di_t-30,di_t-4,di_t-5,di_t-6,di_t-7,di_t-8,di_t-9
71,4,2,,2.0,3.0,,3.0,3.0,,3.0,,,2.0,,,2.0,,2.0,,3.0,,3.0,,,3.0,,3.0,,2.0,1.0,,1.0,,0.0,,0.0,,0.0,,,0.0,,,1.0,,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,
72,5,1,,4.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,3.0,,4.0,,4.0,,,3.0,,2.0,,4.0,5.0,,5.0,,4.0,,4.0,,3.0,,,2.0,,,2.0,,2.0,1.0,,1.0,5.0,,,5.0,,5.0,,
73,5,1,,5.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,4.0,,5.0,,,4.0,,3.0,,5.0,5.0,,5.0,,4.0,,3.0,,3.0,,,2.0,,,1.0,,0.0,0.0,,0.0,5.0,,,6.0,,6.0,,
74,5,1,,5.0,2.0,,2.0,2.0,,2.0,,,2.0,,,3.0,,3.0,,4.0,,5.0,,,3.0,,3.0,,5.0,6.0,,6.0,,4.0,,3.0,,3.0,,,2.0,,,1.0,,0.0,0.0,,0.0,6.0,,,6.0,,6.0,,
75,5,1,,6.0,3.0,,3.0,3.0,,3.0,,,3.0,,,4.0,,4.0,,5.0,,6.0,,,4.0,,4.0,,7.0,7.0,,6.0,,5.0,,3.0,,3.0,,,1.0,,,1.0,,0.0,0.0,,0.0,7.0,,,8.0,,7.0,,
76,5,1,,5.0,2.0,,2.0,3.0,,3.0,,,3.0,,,4.0,,4.0,,4.0,,4.0,,,3.0,,3.0,,5.0,6.0,,6.0,,6.0,,6.0,,6.0,,,5.0,,,4.0,,3.0,3.0,,2.0,5.0,,,6.0,,7.0,,
77,5,1,,4.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,4.0,,4.0,,,3.0,,2.0,,4.0,5.0,,5.0,,5.0,,4.0,,4.0,,,4.0,,,3.0,,2.0,2.0,,1.0,5.0,,,6.0,,5.0,,
78,5,1,,4.0,2.0,,3.0,3.0,,3.0,,,3.0,,,4.0,,4.0,,4.0,,4.0,,,3.0,,2.0,,4.0,5.0,,5.0,,4.0,,4.0,,4.0,,,4.0,,,3.0,,2.0,2.0,,1.0,5.0,,,5.0,,5.0,,
79,5,1,,4.0,3.0,,3.0,3.0,,3.0,,,3.0,,,3.0,,4.0,,4.0,,4.0,,,3.0,,3.0,,5.0,4.0,,4.0,,4.0,,3.0,,3.0,,,2.0,,,2.0,,2.0,2.0,,1.0,5.0,,,5.0,,5.0,,
80,5,1,,5.0,3.0,,2.0,2.0,,3.0,,,3.0,,,3.0,,4.0,,4.0,,4.0,,,3.0,,3.0,,5.0,4.0,,4.0,,3.0,,3.0,,3.0,,,2.0,,,2.0,,2.0,2.0,,2.0,5.0,,,5.0,,4.0,,
81,5,1,,6.0,3.0,,2.0,2.0,,3.0,,,3.0,,,4.0,,4.0,,4.0,,5.0,,,4.0,,3.0,,6.0,3.0,,4.0,,3.0,,2.0,,2.0,,,1.0,,,0.0,,0.0,0.0,,0.0,5.0,,,5.0,,3.0,,
82,5,1,,6.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,4.0,,5.0,,,4.0,,3.0,,6.0,8.0,,8.0,,7.0,,7.0,,7.0,,,6.0,,,5.0,,4.0,3.0,,3.0,6.0,,,7.0,,8.0,,
83,5,1,,6.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,4.0,,5.0,,,4.0,,3.0,,6.0,8.0,,8.0,,7.0,,7.0,,7.0,,,6.0,,,5.0,,4.0,3.0,,2.0,6.0,,,7.0,,8.0,,
84,5,1,,5.0,3.0,,3.0,3.0,,3.0,,,4.0,,,4.0,,4.0,,5.0,,5.0,,,4.0,,3.0,,5.0,7.0,,7.0,,7.0,,7.0,,6.0,,,6.0,,,5.0,,4.0,3.0,,3.0,6.0,,,7.0,,7.0,,
85,5,1,,5.0,3.0,,2.0,3.0,,3.0,,,3.0,,,4.0,,5.0,,5.0,,4.0,,,3.0,,3.0,,5.0,7.0,,7.0,,6.0,,6.0,,6.0,,,6.0,,,5.0,,4.0,3.0,,2.0,6.0,,,6.0,,7.0,,
86,5,1,,5.0,3.0,,3.0,3.0,,3.0,,,4.0,,,4.0,,4.0,,5.0,,4.0,,,3.0,,3.0,,5.0,5.0,,5.0,,5.0,,5.0,,5.0,,,4.0,,,4.0,,3.0,2.0,,2.0,5.0,,,6.0,,5.0,,
87,5,1,,5.0,2.0,,2.0,2.0,,3.0,,,3.0,,,4.0,,5.0,,5.0,,4.0,,,3.0,,2.0,,5.0,5.0,,5.0,,5.0,,4.0,,4.0,,,3.0,,,3.0,,2.0,2.0,,2.0,5.0,,,6.0,,5.0,,
88,5,1,,5.0,2.0,,2.0,2.0,,2.0,,,3.0,,,3.0,,4.0,,5.0,,4.0,,,3.0,,2.0,,5.0,4.0,,4.0,,4.0,,3.0,,3.0,,,2.0,,,2.0,,2.0,1.0,,1.0,5.0,,,5.0,,5.0,,
89,5,1,,5.0,3.0,,2.0,3.0,,3.0,,,3.0,,,3.0,,4.0,,4.0,,4.0,,,3.0,,3.0,,5.0,4.0,,4.0,,3.0,,3.0,,3.0,,,2.0,,,2.0,,2.0,2.0,,1.0,5.0,,,5.0,,4.0,,
